Variant,Δ_Acc,Δ_wF1,Δ_mF1
A0_Full_Model,0.0,0.0,0.0
A1_wo_IGM,-0.00800985828712264,-0.010480946412218195,-0.015486981296415459
A2_wo_HM,-0.0006161429451633227,-0.0013600796186469255,-0.000382713110260946
A3_wo_MF,0.007393715341959317,-0.0001258020733996279,-0.006544220348311702
A4_wo_CrossModalAttn,0.0,-0.0002628354970785063,0.002137325465432438
A5_wo_CBFC_Loss,-0.01601971657424528,-0.01597985732788132,-0.014841828570897775
B1_wo_SpeakerEmb,-0.01848428835489835,-0.019969157551551375,-0.019035008155354194
B2_wo_PosEnc,-0.028342575477510845,-0.02832128344882401,-0.021964207711050565
B3_wo_InputLN,0.004929143561306137,0.003943041722394791,0.008248969397418704
B4_IGM_wo_ImplicitEdges,0.003696857670979603,0.002977210397742347,0.007607228761604468
B5_IGM_SingleBranch,-0.0006161429451633227,-0.001504160505003238,0.00231203787364076
