Variant,Group,Acc,wF1,mF1,BestEpoch,Δ_Acc,Δ_wF1,Δ_mF1
A1_wo_IGM,A,0.6734442390634627,0.6745853626394007,0.6565427417529621,15,-0.003696857670979603,-0.004456590979923569,-0.010375247266487975
A2_wo_HM,A,0.680837954405422,0.683706229432972,0.6716470099391166,29,0.003696857670979714,0.0046642758136477,0.004729020919666538
A3_wo_MF,A,0.6888478126925447,0.6849405069782193,0.6654855027010659,13,0.011706715958102354,0.005898553358894998,-0.0014324863183842185
A4_wo_CrossModalAttn,A,0.6814540973505854,0.6848034735545404,0.67416704851481,23,0.004313000616143037,0.0057615199352161195,0.007249059495359922
A5_wo_CBFC_Loss,A,0.6654343807763401,0.6690864517237376,0.6571878944784798,26,-0.011706715958102243,-0.009955501895586694,-0.009730094540970291
B1_wo_SpeakerEmb,B,0.662969808995687,0.6650971515000675,0.6529947148940234,11,-0.014171287738755312,-0.01394480211925675,-0.01392327412542671
B2_wo_PosEnc,B,0.6531115218730745,0.6567450256027949,0.650065515338327,19,-0.02402957486136781,-0.022296928016529383,-0.01685247368112308
B3_wo_InputLN,B,0.6863832409118915,0.6890093507740137,0.6802786924467963,25,0.009242144177449174,0.009967397154689417,0.013360703427346188
B4_IGM_wo_ImplicitEdges,B,0.685150955021565,0.6880435194493613,0.679636951810982,30,0.00800985828712264,0.009001565830036973,0.012718962791531951
B5_IGM_SingleBranch,B,0.680837954405422,0.6835621485466157,0.6743417609230183,22,0.003696857670979714,0.004520194927291388,0.007423771903568244
A0_Full_Model,A,0.6771410967344423,0.6790419536193243,0.6669179890194501,22,0.0,0.0,0.0
C1_LN_Impl,C,0.6820702402957486,0.6839511035508741,0.6773564665942442,24,0.004929143561306248,0.004909149931549783,0.010438477574794103
C2_C1_1br_noCA,C,0.6796056685150955,0.6831247304831333,0.6751795579761072,24,0.0024645717806531797,0.004082776863808979,0.008261568956657084
C3_minimal,C,0.6913123844731978,0.692365893938726,0.6786817339867306,23,0.014171287738755423,0.013323940319401761,0.011763744967280498
C4_minimal_keepMF,C,0.6666666666666666,0.66808031305419,0.6548142572501311,19,-0.010474430067775709,-0.010961640565134267,-0.012103731769319004
